period_start,period_end,product_category,net_sales_millions
2025-03-30,2025-06-28,Mac,8046.0
2025-03-30,2025-06-28,Services,27423.0
2025-03-30,2025-06-28,Wearables Home and Accessories,7404.0
2025-03-30,2025-06-28,iPad,6581.0
2025-03-30,2025-06-28,iPhone,44582.0
