period_start,period_end,product_category,net_sales_millions
2024-09-29,2024-12-28,Mac,8987.0
2024-09-29,2024-12-28,Services,26340.0
2024-09-29,2024-12-28,Wearables Home and Accessories,11747.0
2024-09-29,2024-12-28,iPad,8088.0
2024-09-29,2024-12-28,iPhone,69138.0
