period_start,period_end,segment,net_sales_millions
2024-03-31,2024-06-29,Americas,37678.0
2024-03-31,2024-06-29,Europe,21884.0
2024-03-31,2024-06-29,Greater China,14728.0
2024-03-31,2024-06-29,Japan,5097.0
2024-03-31,2024-06-29,Rest of Asia Pacific,6390.0
