period_start,period_end,segment,net_sales_millions
2025-09-28,2025-12-27,Americas,58529.0
2025-09-28,2025-12-27,Europe,38146.0
2025-09-28,2025-12-27,Greater China,25526.0
2025-09-28,2025-12-27,Japan,9413.0
2025-09-28,2025-12-27,Rest of Asia Pacific,12142.0
