period_start,period_end,segment,net_sales_millions
2024-12-29,2025-03-29,Americas,40315.0
2024-12-29,2025-03-29,Europe,24454.0
2024-12-29,2025-03-29,Greater China,16002.0
2024-12-29,2025-03-29,Japan,7298.0
2024-12-29,2025-03-29,Rest of Asia Pacific,7290.0
