period_start,period_end,product_category,net_sales_millions
2023-10-01,2023-12-30,Mac,7780.0
2023-10-01,2023-12-30,Services,23117.0
2023-10-01,2023-12-30,Wearables Home and Accessories,11953.0
2023-10-01,2023-12-30,iPad,7023.0
2023-10-01,2023-12-30,iPhone,69702.0
