period_start,period_end,product_category,net_sales_millions
2023-12-31,2024-03-30,Mac,7451.0
2023-12-31,2024-03-30,Services,23867.0
2023-12-31,2024-03-30,Wearables Home and Accessories,7913.0
2023-12-31,2024-03-30,iPad,5559.0
2023-12-31,2024-03-30,iPhone,45963.0
