period_start,period_end,product_category,net_sales_millions
2024-12-29,2025-03-29,Mac,7949.0
2024-12-29,2025-03-29,Services,26645.0
2024-12-29,2025-03-29,Wearables Home and Accessories,7522.0
2024-12-29,2025-03-29,iPad,6402.0
2024-12-29,2025-03-29,iPhone,46841.0
