period_start,period_end,segment,net_sales_millions
2023-12-31,2024-03-30,Americas,37273.0
2023-12-31,2024-03-30,Europe,24123.0
2023-12-31,2024-03-30,Greater China,16372.0
2023-12-31,2024-03-30,Japan,6262.0
2023-12-31,2024-03-30,Rest of Asia Pacific,6723.0
