period_start,period_end,segment,net_sales_millions
2024-09-29,2024-12-28,Americas,52648.0
2024-09-29,2024-12-28,Europe,33861.0
2024-09-29,2024-12-28,Greater China,18513.0
2024-09-29,2024-12-28,Japan,8987.0
2024-09-29,2024-12-28,Rest of Asia Pacific,10291.0
