period_start,period_end,product_category,net_sales_millions
2024-03-31,2024-06-29,Mac,7009.0
2024-03-31,2024-06-29,Services,24213.0
2024-03-31,2024-06-29,Wearables Home and Accessories,8097.0
2024-03-31,2024-06-29,iPad,7162.0
2024-03-31,2024-06-29,iPhone,39296.0
