period_start,period_end,segment,net_sales_millions
2025-03-30,2025-06-28,Americas,41198.0
2025-03-30,2025-06-28,Europe,24014.0
2025-03-30,2025-06-28,Greater China,15369.0
2025-03-30,2025-06-28,Japan,5782.0
2025-03-30,2025-06-28,Rest of Asia Pacific,7673.0
